feedback_id,customer_id,date_submitted,feedback_text,satisfaction_score,contacted_agent,referred_claim
FDB80000,CUST11173,2025-06-21,Had to wait too long for claim approval.,1,Yes,No
FDB80001,CUST10158,2024-08-19,Need more clarity on policy coverage.,2,No,No
FDB80002,CUST10351,2024-10-06,The mobile app experience was intuitive.,4,No,No
FDB80005,CUST10847,2026-07-22,Excellent customer service support.,4,No,No
FDB80006,CUST11210,2025-12-16,Frustrated with repeated documentation requests.,2,No,Yes
FDB80009,CUST11581,2024-11-06,The agent was helpful and explained everything.,4,No,Yes
FDB80012,CUST10192,2025-01-24,Excellent customer service support.,4,Yes,No
FDB80013,CUST11249,2026-02-25,Excellent customer service support.,4,No,Yes
FDB80017,CUST10277,2024-07-16,Smooth experience with no issues.,4,Yes,No
FDB80019,CUST11086,2024-09-04,Need more clarity on policy coverage.,2,Yes,No
FDB80020,CUST10130,2025-01-24,Had to wait too long for claim approval.,1,Yes,No
FDB80021,CUST11082,2024-03-10,The agent was helpful and explained everything.,4,Yes,No
FDB80022,CUST11406,2026-05-25,Smooth experience with no issues.,5,No,No
FDB80023,CUST11507,2024-10-28,The mobile app experience was intuitive.,4,No,Yes
FDB80026,CUST10186,2024-11-26,Very satisfied with the claim process.,5,Yes,No
FDB80027,CUST11352,2025-08-01,Had to wait too long for claim approval.,1,Yes,No
FDB80028,CUST10192,2025-07-13,Claim process could be faster.,2,Yes,No
FDB80031,CUST11113,2026-09-02,Had to wait too long for claim approval.,2,No,Yes
FDB80033,CUST10341,2025-11-14,Frustrated with repeated documentation requests.,2,No,No
FDB80034,CUST11436,2026-07-06,Need more clarity on policy coverage.,2,No,No
FDB80036,CUST10990,2024-06-03,I'm not happy with the premium charged.,2,No,Yes
FDB80037,CUST11396,2025-05-19,The mobile app experience was intuitive.,4,Yes,No
FDB80038,CUST11486,2025-02-02,Need more clarity on policy coverage.,2,Yes,Yes
FDB80039,CUST11100,2023-12-12,Need more clarity on policy coverage.,2,No,No
FDB80040,CUST10753,2024-10-13,Excellent customer service support.,5,No,Yes
FDB80041,CUST10438,2025-11-26,Very satisfied with the claim process.,4,No,No
FDB80042,CUST10508,2026-04-29,I'm not happy with the premium charged.,2,Yes,No
FDB80043,CUST11331,2025-08-20,The mobile app experience was intuitive.,4,Yes,Yes
FDB80044,CUST10769,2025-05-01,I'm not happy with the premium charged.,2,No,No
FDB80045,CUST10164,2026-04-07,I'm not happy with the premium charged.,2,No,No
FDB80047,CUST10456,2024-02-27,The agent was helpful and explained everything.,4,No,No
FDB80049,CUST11572,2026-04-19,Very satisfied with the claim process.,5,No,No
FDB80050,CUST11154,2024-03-14,Very satisfied with the claim process.,5,Yes,Yes
FDB80051,CUST11258,2026-06-27,I'm not happy with the premium charged.,2,No,No
FDB80052,CUST11441,2026-06-09,I'm not happy with the premium charged.,2,No,Yes
FDB80054,CUST10197,2024-07-21,Frustrated with repeated documentation requests.,2,Yes,Yes
FDB80056,CUST11230,2024-04-17,Claim process could be faster.,2,Yes,Yes
FDB80057,CUST10580,2025-01-21,Excellent customer service support.,5,Yes,Yes
FDB80058,CUST10748,2024-05-29,The mobile app experience was intuitive.,4,No,No
FDB80060,CUST10650,2026-08-23,Frustrated with repeated documentation requests.,2,Yes,No
FDB80061,CUST11602,2026-01-24,Had to wait too long for claim approval.,2,No,No
FDB80062,CUST11156,2026-08-05,Claim process could be faster.,3,Yes,No
FDB80065,CUST10762,2025-06-26,Frustrated with repeated documentation requests.,2,No,No
FDB80067,CUST10577,2026-06-08,Very satisfied with the claim process.,5,No,Yes
FDB80069,CUST10091,2025-01-22,Need more clarity on policy coverage.,2,No,Yes
FDB80070,CUST10285,2026-07-24,Excellent customer service support.,4,Yes,No
FDB80071,CUST11123,2023-09-11,The agent was helpful and explained everything.,4,No,No
FDB80072,CUST11123,2023-10-09,Need more clarity on policy coverage.,2,No,No
FDB80073,CUST11529,2025-09-14,Claim process could be faster.,2,Yes,No
FDB80074,CUST10631,2026-04-11,The mobile app experience was intuitive.,4,Yes,No
FDB80075,CUST10437,2026-08-30,Claim process could be faster.,2,Yes,Yes
FDB80076,CUST10861,2026-04-05,Smooth experience with no issues.,5,No,No
FDB80077,CUST10794,2023-11-20,Very satisfied with the claim process.,4,Yes,Yes
FDB80078,CUST10230,2024-12-04,Very satisfied with the claim process.,5,No,Yes
FDB80079,CUST11178,2024-06-14,Need more clarity on policy coverage.,2,Yes,No
FDB80080,CUST11610,2025-10-27,Claim process could be faster.,2,No,Yes
FDB80082,CUST11089,2026-01-02,Had to wait too long for claim approval.,1,Yes,No
FDB80084,CUST10497,2025-04-11,Claim process could be faster.,2,Yes,No
FDB80085,CUST11482,2023-09-29,Frustrated with repeated documentation requests.,2,No,No
FDB80086,CUST10827,2025-02-11,Excellent customer service support.,5,No,Yes
