feedback_id,customer_id,date_submitted,feedback_text,satisfaction_score,contacted_agent,referred_claim
FDB80000,CUST11173,21/06/2025,Had to wait too long for claim approval.,1,Yes,No
FDB80001,CUST10158,19/08/2024,Need more clarity on policy coverage.,2,No,No
FDB80002,CUST10351,06/10/2024,The mobile app experience was intuitive.,4,No,No
FDB80003,CUST99230,28/12/2023,Claim process could be faster.,2,Yes,No
FDB80004,CUST99154,30/04/2026,Frustrated with repeated documentation requests.,2,No,Yes
FDB80005,CUST10847,22/07/2026,Excellent customer service support.,4,No,No
FDB80006,CUST11210,16/12/2025,Frustrated with repeated documentation requests.,2,No,Yes
FDB80007,CUST99218,17/08/2024,Excellent customer service support.,5,No,Yes
FDB80008,CUST99270,13/04/2025,Claim process could be faster.,2,Yes,Yes
FDB80009,CUST11581,06/11/2024,The agent was helpful and explained everything.,4,No,Yes
FDB80010,CUST99089,02/04/2026,I'm not happy with the premium charged.,2,Yes,No
FDB80011,CUST99136,27/02/2025,Frustrated with repeated documentation requests.,2,Yes,No
FDB80012,CUST10192,24/01/2025,Excellent customer service support.,4,Yes,No
FDB80013,CUST11249,25/02/2026,Excellent customer service support.,4,No,Yes
FDB80014,CUST99098,08/01/2025,Very satisfied with the claim process.,5,Yes,No
FDB80015,CUST99113,12/06/2026,The agent was helpful and explained everything.,5,No,No
FDB80016,CUST99036,16/03/2024,Very satisfied with the claim process.,5,No,Yes
FDB80017,CUST10277,16/07/2024,Smooth experience with no issues.,4,Yes,No
FDB80018,CUST99101,09/04/2025,I'm not happy with the premium charged.,2,No,Yes
FDB80019,CUST11086,04/09/2024,Need more clarity on policy coverage.,2,Yes,No
FDB80020,CUST10130,24/01/2025,Had to wait too long for claim approval.,1,Yes,No
FDB80021,CUST11082,10/03/2024,The agent was helpful and explained everything.,4,Yes,No
FDB80022,CUST11406,25/05/2026,Smooth experience with no issues.,5,No,No
FDB80023,CUST11507,28/10/2024,The mobile app experience was intuitive.,4,No,Yes
FDB80024,CUST99202,19/08/2025,Smooth experience with no issues.,5,Yes,No
FDB80025,CUST99211,06/08/2026,Smooth experience with no issues.,4,Yes,No
FDB80026,CUST10186,26/11/2024,Very satisfied with the claim process.,5,Yes,No
FDB80027,CUST11352,01/08/2025,Had to wait too long for claim approval.,1,Yes,No
FDB80028,CUST10192,13/07/2025,Claim process could be faster.,2,Yes,No
FDB80029,CUST99096,02/02/2024,Frustrated with repeated documentation requests.,2,No,Yes
FDB80030,CUST99158,14/07/2025,The agent was helpful and explained everything.,4,No,No
FDB80031,CUST11113,02/09/2026,Had to wait too long for claim approval.,2,No,Yes
FDB80032,CUST99026,22/06/2025,Frustrated with repeated documentation requests.,2,No,Yes
FDB80033,CUST10341,14/11/2025,Frustrated with repeated documentation requests.,2,No,No
FDB80034,CUST11436,06/07/2026,Need more clarity on policy coverage.,2,No,No
FDB80035,CUST99055,25/08/2024,Excellent customer service support.,5,Yes,No
FDB80036,CUST10990,03/06/2024,I'm not happy with the premium charged.,2,No,Yes
FDB80037,CUST11396,19/05/2025,The mobile app experience was intuitive.,4,Yes,No
FDB80038,CUST11486,02/02/2025,Need more clarity on policy coverage.,2,Yes,Yes
FDB80039,CUST11100,12/12/2023,Need more clarity on policy coverage.,2,No,No
FDB80040,CUST10753,13/10/2024,Excellent customer service support.,5,No,Yes
FDB80041,CUST10438,26/11/2025,Very satisfied with the claim process.,4,No,No
FDB80042,CUST10508,29/04/2026,I'm not happy with the premium charged.,2,Yes,No
FDB80043,CUST11331,20/08/2025,The mobile app experience was intuitive.,4,Yes,Yes
